gia,0.3,K,SI2,VG,VG,EX,Medium,上海宏伊旗舰,4800
gia,0.32,K,VS1,EX,EX,EX,None,上海宏伊旗舰,6020
gia,0.33,K,VS1,EX,EX,EX,None,上海宏伊旗舰,6210
gia,0.3,G,SI1,EX,VG,EX,None,深圳,6960
gia,0.3,H,SI1,EX,EX,EX,None,北京丰台合生广场,7110
gia,0.3,G,SI1,EX,EX,EX,None,合肥,7380
gia,0.3,G,SI1,EX,EX,EX,None,宁波,7380
gia,0.3,G,SI1,EX,EX,EX,None,北京,7380
gia,0.3,H,VS2,EX,EX,EX,None,重庆,7650
gia,0.3,H,VS2,EX,EX,EX,None,杭州,7650
gia,0.3,H,VS2,EX,EX,EX,None,天津,7650
gia,0.3,H,VS2,EX,EX,EX,None,重庆,7650
gia,0.3,H,VS2,EX,EX,EX,None,合肥,7650
gia,0.3,F,SI1,EX,EX,EX,None,上海宏伊旗舰,7710
gia,0.3,F,SI1,EX,EX,EX,None,宁波,7710
gia,0.3,F,SI1,EX,EX,EX,None,南京,7710
gia,0.3,G,SI1,EX,EX,EX,None,成都,7380
gia,0.3,G,SI1,EX,EX,EX,None,杭州,7380
gia,0.3,H,VS2,EX,EX,EX,None,上海静安大融城,7650
gia,0.3,H,VS2,EX,EX,EX,None,南京,7650
gia,0.3,H,VS2,EX,EX,EX,None,北京,7650
gia,0.3,H,VS2,EX,EX,EX,None,杭州,7650
gia,0.3,H,VS2,EX,EX,EX,None,成都,7650
gia,0.3,H,VS2,EX,EX,EX,None,北京,7650
gia,0.3,G,SI1,EX,EX,EX,None,成都,7380
gia,0.3,G,SI1,EX,EX,EX,None,杭州,7380
gia,0.3,H,VS2,EX,EX,EX,None,上海静安大融城,7650
gia,0.3,H,VS2,EX,EX,EX,None,南京,7650
gia,0.3,H,VS2,EX,EX,EX,None,北京,7650
gia,0.3,H,VS2,EX,EX,EX,None,杭州,7650
gia,0.3,H,VS2,EX,EX,EX,None,成都,7650
gia,0.3,H,VS2,EX,EX,EX,None,北京,7650
